State,Year,StateCode,Population,AllOpioids,AllOpioidsRate,AllOpioidsRatePer100k,T40.1,T40.1Rate,T40.1RatePer100k,T40.2,T40.2Rate,T40.2RatePer100k,T40.3,T40.3Rate,T40.3RatePer100k,T40.4,T40.4Rate,T40.4RatePer100k,T40.6,T40.6Rate,T40.6RatePer100k,fracwhite,fracblack,fracother,yr_st_age_0_15,yr_st_age_16_35,yr_st_age_36_64,yr_st_age_65plus
Texas,2014,48,26956958,1219,4.52202E-05,4.52202359,441,1.63594E-05,1.635941266,494,1.83255E-05,1.832550987,132,4.89669E-06,0.489669495,168,6.23216E-06,0.62321572,110,4.08058E-06,0.408057912,0.810870475,0.122106641,0.067022883,0.236007302,0.289933835,0.359118071,0.114940791
Utah,2014,49,2942902,471,0.000160046,16.00461042,114,3.87373E-05,3.873727362,379,0.000128784,12.87844447,49,1.66502E-05,1.665023164,69,2.34462E-05,2.344624456,16,5.43681E-06,0.543681033,0.92164797,0.012252319,0.066099711,0.275856642,0.309951337,0.313804033,0.100387989
Vermont,2014,50,626562,72,0.000114913,11.49128099,35,5.58604E-05,5.58603937,26,4.14963E-05,4.149629247,5,7.98006E-06,0.798005624,23,3.67083E-05,3.670825872,1,1.59601E-06,0.159601125,0.95661304,0.010317368,0.033069593,0.169627933,0.25899066,0.401908183,0.169473224
Virginia,2014,51,8326289,775,9.30787E-05,9.307868127,255,3.06259E-05,3.062588868,335,4.0234E-05,4.023401061,109,1.30911E-05,1.309106614,176,2.11379E-05,2.113786826,35,4.20355E-06,0.420355335,0.715587405,0.197401483,0.087011113,0.199490897,0.27732137,0.385268087,0.137919646
Washington,2014,53,7061530,692,9.79958E-05,9.799576013,294,4.1634E-05,4.163403682,296,4.19173E-05,4.191726156,120,1.69935E-05,1.699348441,64,9.06319E-06,0.906319169,219,3.10131E-05,3.101310906,0.82314359,0.037524202,0.139332207,0.201529699,0.277234713,0.380589935,0.140645653
West Virginia,2014,54,1850326,585,0.000316161,31.61605036,165,8.91735E-05,8.917347538,385,0.000208071,20.80714425,37,1.99965E-05,1.99964763,128,6.9177E-05,6.917699908,18,9.72802E-06,0.97280155,0.942535702,0.034476636,0.022987662,0.182309141,0.246368705,0.393601563,0.177720591
Wisconsin,2014,55,5757564,640,0.000111158,11.11581217,271,4.70685E-05,4.706851717,288,5.00212E-05,5.002115478,80,1.38948E-05,1.389476522,92,1.5979E-05,1.597898,23,3.99474E-06,0.3994745,0.885692878,0.064536997,0.049770124,0.200060712,0.263536757,0.384300646,0.152101886
Wyoming,2014,56,584153,57,9.75772E-05,9.757717584,10,1.71188E-05,1.711880278,30,5.13564E-05,5.135640834,4,6.84752E-06,0.684752111,12,2.05426E-05,2.054256334,11,1.88307E-05,1.883068306,0.938760809,0.009110651,0.052128539,0.21181649,0.278554319,0.369855151,0.13977404
Alabama,2013,1,4833722,175,3.6204E-05,3.620398525,42,8.68896E-06,0.868895646,71,1.46885E-05,1.468847402,44,9.10272E-06,0.910271629,31,6.41328E-06,0.641327739,16,3.31008E-06,0.331007865,0.703569611,0.263450534,0.032979855,0.203245526,0.267349542,0.380202295,0.149202637
Alaska,2013,2,735132,69,9.38607E-05,9.386069441,24,3.26472E-05,3.264719805,38,5.16914E-05,5.169139692,8,1.08824E-05,1.088239935,12,1.63236E-05,1.632359903,9,1.22427E-05,1.224269927,0.681289609,0.034412747,0.284297644,0.227847448,0.30473117,0.377915506,0.089505875
Arizona,2013,4,6626624,545,8.2244E-05,8.22439903,147,2.21832E-05,2.218324142,268,4.04429E-05,4.044291633,66,9.95982E-06,0.995982268,52,7.84713E-06,0.784713302,51,7.69623E-06,0.769622662,0.847695336,0.043946222,0.108358441,0.216539462,0.273433015,0.356188592,0.153838931
Arkansas,2013,5,2959373,175,5.91341E-05,5.913414767,2,6.75819E-07,0.067581883,120,4.05491E-05,4.054912983,44,1.4868E-05,1.486801427,33,1.1151E-05,1.11510107,14,4.73073E-06,0.473073181,0.8033158,0.15570431,0.04097989,0.213034739,0.266718785,0.366783916,0.153462561
California,2013,6,38332521,2088,5.44707E-05,5.447071952,497,1.29655E-05,1.296549215,1127,2.94006E-05,2.940062304,370,9.65238E-06,0.965237846,186,4.85228E-06,0.485227674,221,5.76534E-06,0.576533957,0.741838075,0.066745905,0.19141602,0.211321589,0.29143769,0.372331823,0.124908899
Colorado,2013,8,5268367,443,8.40868E-05,8.408677679,120,2.27775E-05,2.277745647,225,4.27077E-05,4.270773088,43,8.16192E-06,0.81619219,70,1.32868E-05,1.328684961,46,8.73136E-06,0.873135831,0.884957158,0.042734266,0.072308576,0.209966279,0.284007736,0.383380638,0.122645347
Connecticut,2013,9,3596080,442,0.000122912,12.29116149,229,6.36805E-05,6.368045205,145,4.03217E-05,4.032168361,49,1.36259E-05,1.362594825,53,1.47383E-05,1.473827056,25,6.95201E-06,0.695201442,0.825612735,0.109714706,0.064672559,0.190680875,0.257330987,0.400458231,0.151529907
Delaware,2013,10,925749,115,0.000124224,12.42237367,39,4.2128E-05,4.212804983,35,3.78072E-05,3.78072242,22,2.37645E-05,2.376454093,23,2.48447E-05,2.484474733,20,2.16041E-05,2.160412812,0.719173124,0.21859179,0.062235086,0.195698053,0.265082478,0.379875621,0.159343848
District of Columbia,2013,11,646449,60,9.28147E-05,9.281474641,35,5.41419E-05,5.41419354,10,1.54691E-05,1.54691244,7,1.08284E-05,1.082838708,6,9.28147E-06,0.928147464,8,1.23753E-05,1.237529952,0.417575861,0.515817079,0.06660706,0.156001941,0.385945022,0.345094082,0.112958955
Florida,2013,12,19552860,1327,6.78673E-05,6.786730944,186,9.51267E-06,0.951267487,792,4.05056E-05,4.050558333,277,1.41667E-05,1.416672548,203,1.03821E-05,1.03821129,41,2.09688E-06,0.209687994,0.787650807,0.16371556,0.048633632,0.181505311,0.252782169,0.379375684,0.186336835
Georgia,2013,13,9992167,539,5.39423E-05,5.394225297,67,6.70525E-06,0.670525222,316,3.16248E-05,3.162477168,110,1.10086E-05,1.100862305,82,8.20643E-06,0.82064281,36,3.60282E-06,0.360282209,0.63430544,0.309045648,0.056648912,0.221333973,0.278683353,0.380334259,0.119648414
