State,Year,StateCode,Population,AllOpioids,AllOpioidsRate,AllOpioidsRatePer100k,T40.1,T40.1Rate,T40.1RatePer100k,T40.2,T40.2Rate,T40.2RatePer100k,T40.3,T40.3Rate,T40.3RatePer100k,T40.4,T40.4Rate,T40.4RatePer100k,T40.6,T40.6Rate,T40.6RatePer100k,fracwhite,fracblack,fracother,yr_st_age_0_15,yr_st_age_16_35,yr_st_age_36_64,yr_st_age_65plus
Iowa,2013,19,3090416,190,6.14804E-05,6.148039617,32,1.03546E-05,1.035459304,110,3.55939E-05,3.559391357,27,8.73669E-06,0.873668788,36,1.16489E-05,1.164891717,19,6.14804E-06,0.614803962,0.93213529,0.030099906,0.037764804,0.208414162,0.26842781,0.368073339,0.155084688
Kansas,2013,20,2893957,171,5.90886E-05,5.908864575,13,4.49212E-06,0.449211927,96,3.31726E-05,3.317257305,31,1.0712E-05,1.071197672,40,1.38219E-05,1.382190544,7,2.41883E-06,0.241883345,0.876604823,0.060739864,0.062655313,0.22317627,0.275880879,0.361078684,0.139864167
Kentucky,2013,21,4395295,689,0.000156759,15.67585338,216,4.91435E-05,4.914345909,362,8.23608E-05,8.236079717,73,1.66087E-05,1.660866904,79,1.79738E-05,1.797376513,98,2.22966E-05,2.22965694,0.890496932,0.078998619,0.030504449,0.205240023,0.264849924,0.385904983,0.14400507
Louisiana,2013,22,4625470,270,5.83724E-05,5.837244648,121,2.61595E-05,2.615950379,89,1.92413E-05,1.924128791,21,4.54008E-06,0.454007917,26,5.62105E-06,0.56210504,50,1.08097E-05,1.080971231,0.640334612,0.322710997,0.036954391,0.214516378,0.284455609,0.368527205,0.132500807
Maine,2013,23,1328302,134,0.000100881,10.08806732,17,1.27983E-05,1.279829436,68,5.11932E-05,5.119317746,37,2.78551E-05,2.785511126,26,1.95739E-05,1.957386197,6,4.51705E-06,0.451704507,0.955887744,0.012247424,0.031864832,0.17277492,0.234941418,0.415487903,0.176795759
Maryland,2013,24,5928814,759,0.000128019,12.80188584,219,3.69382E-05,3.693824768,308,5.19497E-05,5.194968167,143,2.41195E-05,2.411949506,95,1.60234E-05,1.602344078,203,3.42396E-05,3.423956292,0.613379597,0.299904288,0.086716115,0.200924984,0.271515086,0.393667546,0.133892384
Massachusetts,2013,25,6692824,910,0.000135967,13.59665218,289,4.31806E-05,4.318057669,187,2.79404E-05,2.794037315,100,1.49414E-05,1.494137602,102,1.52402E-05,1.524020354,434,6.48456E-05,6.484557191,0.843807277,0.077030174,0.079162549,0.183037449,0.278012449,0.391611123,0.147338979
Michigan,2013,26,9895622,934,9.43852E-05,9.438517356,424,4.28472E-05,4.284723083,294,2.97101E-05,2.971010817,167,1.68761E-05,1.687614988,90,9.09493E-06,0.909493107,71,7.17489E-06,0.717489007,0.804308635,0.143273834,0.05241753,0.199413738,0.261117355,0.389348521,0.150120386
Minnesota,2013,27,5420380,314,5.79295E-05,5.792951786,94,1.7342E-05,1.734195757,114,2.10317E-05,2.103173578,77,1.42056E-05,1.42056461,34,6.27262E-06,0.627262295,24,4.42773E-06,0.442773385,0.871705577,0.052970017,0.075324406,0.209840471,0.269931961,0.380805205,0.139422363
Mississippi,2013,28,2991207,103,3.44343E-05,3.443426015,11,3.67745E-06,0.367744526,55,1.83872E-05,1.838722629,13,4.34607E-06,0.434607167,25,8.35783E-06,0.835783013,10,3.34313E-06,0.334313205,0.603037377,0.371752811,0.025209812,0.218777441,0.275341567,0.366886007,0.138994985
Missouri,2013,29,6044171,644,0.000106549,10.65489378,264,4.36784E-05,4.367844656,252,4.16931E-05,4.169306262,55,9.09968E-06,0.909967637,100,1.65449E-05,1.654486612,42,6.94884E-06,0.694884377,0.841287095,0.116912095,0.04180081,0.205285012,0.268988704,0.375648447,0.150077838
Montana,2013,30,1015165,68,6.69842E-05,6.698418484,4,3.94025E-06,0.394024617,43,4.23576E-05,4.235764629,14,1.37909E-05,1.379086158,9,8.86555E-06,0.886555388,5,4.92531E-06,0.492530771,0.901066792,0.004260093,0.094673115,0.195969887,0.261101592,0.380627695,0.162300826
Nebraska,2013,31,1868516,42,2.24777E-05,2.247773099,1,5.35184E-07,0.053518407,34,1.81963E-05,1.819625842,8,4.28147E-06,0.428147257,7,3.74629E-06,0.37462885,0,0,0,0.903042751,0.047072808,0.049884441,0.222485884,0.275260776,0.361056301,0.14119704
Nevada,2013,32,2790136,443,0.000158774,15.87736225,49,1.75619E-05,1.756186795,261,9.35438E-05,9.354382725,76,2.72388E-05,2.72388156,29,1.03938E-05,1.039375858,56,2.00707E-05,2.007070623,0.78002378,0.085621045,0.134355174,0.20977662,0.273189246,0.380422643,0.13661149
New Hampshire,2013,33,1323459,161,0.000121651,12.16509163,69,5.21361E-05,5.213610697,64,4.83581E-05,4.835812821,14,1.05783E-05,1.057834055,30,2.26679E-05,2.26678726,11,8.31155E-06,0.831155329,0.948233534,0.012430971,0.039335496,0.17854035,0.248314983,0.419790926,0.153353741
New Jersey,2013,34,8899339,711,7.98936E-05,7.989357412,395,4.43853E-05,4.438531895,248,2.78672E-05,2.786723823,74,8.31522E-06,0.831522431,60,6.74207E-06,0.674207377,51,5.73076E-06,0.57307627,0.744606111,0.145816703,0.109577186,0.200280319,0.257100837,0.398482127,0.144136718
New Mexico,2013,35,2085287,350,0.000167843,16.78426039,91,4.36391E-05,4.363907702,228,0.000109337,10.93374677,33,1.58252E-05,1.58251598,26,1.24683E-05,1.246830772,15,7.19325E-06,0.719325445,0.835766099,0.023798805,0.140435096,0.216499384,0.27225969,0.36427899,0.146961936
New York,2013,36,19651127,1732,8.81374E-05,8.813743863,678,3.45018E-05,3.450183799,664,3.37894E-05,3.378941065,284,1.44521E-05,1.445209733,217,1.10426E-05,1.104262366,188,9.56688E-06,0.956688133,0.717390227,0.174322903,0.108286869,0.190682046,0.282216739,0.383400837,0.143700378
North Carolina,2013,37,9848060,840,8.5296E-05,8.529598723,190,1.92931E-05,1.929313997,402,4.08202E-05,4.082022246,164,1.6653E-05,1.665302608,116,1.1779E-05,1.177896967,31,3.14783E-06,0.31478281,0.723434356,0.219009567,0.057556078,0.206512362,0.266560485,0.384043838,0.142883315
North Dakota,2013,38,723393,14,1.93532E-05,1.935324229,0,0,0,6,8.29425E-06,0.82942467,5,6.91187E-06,0.691187225,3,4.14712E-06,0.414712335,3,4.14712E-06,0.414712335,0.905655889,0.012263025,0.082081086,0.202029229,0.306942221,0.349116529,0.141912022
Ohio,2013,39,11570808,1695,0.000146489,14.64893377,1010,8.72886E-05,8.728863187,554,4.78791E-05,4.787911095,125,1.0803E-05,1.08030485,178,1.53835E-05,1.538354106,85,7.34607E-06,0.734607298,0.837734204,0.12368227,0.038583526,0.202528742,0.260277984,0.385863398,0.151329876
Oklahoma,2013,40,3850568,521,0.000135305,13.53047135,22,5.71344E-06,0.57134428,381,9.89464E-05,9.894644115,68,1.76597E-05,1.765973228,91,2.36329E-05,2.363287702,12,3.11642E-06,0.311642334,0.760128818,0.07579456,0.164076622,0.220050021,0.277721897,0.359780294,0.142447789
Oregon,2013,41,3930065,310,7.88791E-05,7.887910251,106,2.69716E-05,2.697156408,121,3.07883E-05,3.078829485,69,1.7557E-05,1.755696153,27,6.87012E-06,0.687011538,24,6.10677E-06,0.610676923,0.888328443,0.019423796,0.092247761,0.193405287,0.267947712,0.384131851,0.154515149
Pennsylvania,2013,42,12773801,970,7.59367E-05,7.593667695,410,3.20969E-05,3.209694593,414,3.24101E-05,3.241008686,83,6.49767E-06,0.649767442,108,8.45481E-06,0.845480527,92,7.20224E-06,0.720224153,0.839509985,0.112721089,0.047768926,0.187245498,0.261324832,0.387996859,0.163432811
Rhode Island,2013,44,1051511,195,0.000185447,18.5447418,67,6.37178E-05,6.371783082,82,7.7983E-05,7.798301682,28,2.66283E-05,2.662834721,33,3.13834E-05,3.138340921,37,3.51875E-05,3.518745881,0.864793405,0.071323726,0.063882869,0.178458795,0.277582944,0.389241363,0.154716899
South Carolina,2013,45,4774839,250,5.23578E-05,5.23577863,32,6.7018E-06,0.670179665,146,3.05769E-05,3.05769472,51,1.0681E-05,1.068098841,50,1.04716E-05,1.047155726,5,1.04716E-06,0.104715573,0.684085188,0.281678372,0.034236441,0.201221755,0.267323477,0.378922015,0.152532753
South Dakota,2013,46,844877,34,4.02425E-05,4.024254418,0,0,0,27,3.19573E-05,3.19573145,2,2.36721E-06,0.236720848,5,5.91802E-06,0.59180212,1,1.1836E-06,0.118360424,0.867977597,0.012936943,0.11908546,0.220255834,0.270513728,0.360084126,0.149146312
Tennessee,2013,47,6495978,789,0.00012146,12.1459771,69,1.0622E-05,1.062195716,541,8.32823E-05,8.328230176,88,1.35468E-05,1.354684391,100,1.53941E-05,1.539414081,71,1.09298E-05,1.092983997,0.796758169,0.16829378,0.034948051,0.203968516,0.265633649,0.38387971,0.146518126
Texas,2013,48,26448193,1114,4.21201E-05,4.212007981,377,1.42543E-05,1.425428195,483,1.82621E-05,1.826211719,138,5.21775E-06,0.521774777,125,4.72622E-06,0.47262208,112,4.23469E-06,0.423469384,0.810870475,0.122106641,0.067022883,0.237411187,0.289803303,0.360677129,0.11210838
Utah,2013,49,2900872,444,0.000153057,15.30574255,124,4.27458E-05,4.274576748,367,0.000126514,12.65136828,61,2.10282E-05,2.102815981,58,1.9994E-05,1.999398801,18,6.20503E-06,0.620503076,0.92164797,0.012252319,0.066099711,0.278167324,0.312925751,0.31127003,0.097636894
Vermont,2013,50,626630,75,0.000119688,11.96878541,20,3.19168E-05,3.191676109,42,6.70252E-05,6.702519828,14,2.23417E-05,2.234173276,18,2.87251E-05,2.872508498,0,0,0,0.95661304,0.010317368,0.033069593,0.171757502,0.257814842,0.407098893,0.163328762
Virginia,2013,51,8260405,651,7.88097E-05,7.880969517,206,2.49382E-05,2.493824455,301,3.64389E-05,3.643889131,100,1.21059E-05,1.210594396,125,1.51324E-05,1.513242995,28,3.38966E-06,0.338966431,0.715587405,0.197401483,0.087011113,0.200763262,0.277686376,0.387826268,0.133724094
Washington,2013,53,6971406,667,9.56765E-05,9.567653928,211,3.02665E-05,3.026649144,279,4.00206E-05,4.002062138,161,2.30943E-05,2.309433707,61,8.75003E-06,0.875002833,186,2.66804E-05,2.668041425,0.82314359,0.037524202,0.139332207,0.203199739,0.276443648,0.384067551,0.136289062
West Virginia,2013,54,1854304,518,0.00027935,27.93500958,144,7.76572E-05,7.765716948,364,0.0001963,19.63000673,56,3.02E-05,3.020001035,101,5.44679E-05,5.446787582,7,3.775E-06,0.377500129,0.942535702,0.034476636,0.022987662,0.182735989,0.247070117,0.397664943,0.172528951
Wisconsin,2013,55,5742713,604,0.000105177,10.51767692,233,4.05732E-05,4.057315767,280,4.87574E-05,4.875744269,77,1.34083E-05,1.340829674,82,1.4279E-05,1.427896536,28,4.87574E-06,0.487574427,0.885692878,0.064536997,0.049770124,0.201689787,0.263703378,0.386695361,0.147911474
Wyoming,2013,56,582658,52,8.92462E-05,8.924617872,4,6.86509E-06,0.686509067,34,5.83533E-05,5.83532707,1,1.71627E-06,0.171627267,4,6.86509E-06,0.686509067,11,1.8879E-05,1.887899934,0.938760809,0.009110651,0.052128539,0.211152185,0.279029457,0.374817225,0.135001133
Alabama,2012,1,4822023,175,3.62918E-05,3.629182192,36,7.46575E-06,0.746574622,70,1.45167E-05,1.451672877,57,1.18208E-05,1.182076485,17,3.52549E-06,0.352549127,11,2.2812E-06,0.228120023,0.7130027,0.2582494,0.0287478,0.2297856,0.2501848,0.384971,0.1350585
Alaska,2012,2,731449,81,0.000110739,11.07390946,23,3.14444E-05,3.144443427,42,5.74203E-05,5.742027127,10,1.36715E-05,1.367149316,8,1.09372E-05,1.093719453,9,1.23043E-05,1.230434384,0.7192903,0.0464729,0.2342367,0.2475011,0.2859459,0.3924763,0.0740767
Arizona,2012,4,6553255,565,8.62167E-05,8.621669689,102,1.55648E-05,1.556478422,356,5.43241E-05,5.432414884,53,8.08758E-06,0.808758396,38,5.79865E-06,0.57986451,53,8.08758E-06,0.808758396,0.8132005,0.0469688,0.1398306,0.2450904,0.251419,0.3613177,0.1421729
Arkansas,2012,5,2949131,181,6.1374E-05,6.137401153,6,2.0345E-06,0.203449762,129,4.37417E-05,4.374169883,43,1.45806E-05,1.458056628,22,7.45982E-06,0.745982461,7,2.37358E-06,0.237358056,0.8089892,0.1529727,0.0380381,0.2378722,0.2492231,0.3737403,0.1391643
California,2012,6,38041430,1847,4.85523E-05,4.855232834,368,9.67366E-06,0.967366369,1034,2.71809E-05,2.718089199,376,9.88396E-06,0.988396072,157,4.12708E-06,0.412707934,181,4.75797E-06,0.475797045,0.6607442,0.0651786,0.2740772,0.2394209,0.2723153,0.3742191,0.1140447
Colorado,2012,8,5187582,415,7.99987E-05,7.999873544,91,1.75419E-05,1.754189139,227,4.37583E-05,4.375834445,45,8.67456E-06,0.867456167,53,1.02167E-05,1.021670597,39,7.51795E-06,0.751795345,0.871787,0.0481218,0.0800912,0.2310483,0.2664222,0.3938214,0.108708
Connecticut,2012,9,3590347,202,5.6262E-05,5.626197134,98,2.72954E-05,2.729541184,38,1.05839E-05,1.05839352,25,6.96312E-06,0.696311526,15,4.17787E-06,0.417786916,35,9.74836E-06,0.974836137,0.8133975,0.1010538,0.0855487,0.2151741,0.229974,0.4117873,0.1430645
Delaware,2012,10,917092,86,9.37747E-05,9.377467037,20,2.18081E-05,2.180806288,37,4.03449E-05,4.034491632,11,1.19944E-05,1.199443458,18,1.96273E-05,1.962725659,19,2.07177E-05,2.071765973,0.7294077,0.2154258,0.0551665,0.2241049,0.2355707,0.3902856,0.1500388
District of Columbia,2012,11,632323,45,7.11662E-05,7.116616033,25,3.95368E-05,3.953675574,14,2.21406E-05,2.214058321,5,7.90735E-06,0.790735115,2,3.16294E-06,0.316294046,7,1.10703E-05,1.107029161,0.4372561,0.4828763,0.0798676,0.1817118,0.3517236,0.3524067,0.1141579
Florida,2012,12,19317568,1383,7.15929E-05,7.159286304,104,5.3837E-06,0.538370047,887,4.59168E-05,4.591675308,347,1.79629E-05,1.79629237,176,9.11088E-06,0.911087773,34,1.76006E-06,0.176005592,0.7898535,0.1571002,0.0530463,0.2078956,0.2341934,0.3817604,0.1761505
Georgia,2012,13,9919945,551,5.55447E-05,5.55446628,40,4.03228E-06,0.403228042,309,3.11494E-05,3.114936625,162,1.63307E-05,1.63307357,65,6.55246E-06,0.655245568,44,4.43551E-06,0.443550846,0.6297045,0.3054159,0.0648797,0.2552004,0.2604623,0.3765679,0.1077694
Hawaii,2012,15,1392313,64,4.59667E-05,4.59666756,5,3.59115E-06,0.359114653,37,2.65745E-05,2.657448433,16,1.14917E-05,1.14916689,5,3.59115E-06,0.359114653,9,6.46406E-06,0.646406376,0.2893888,0.0256652,0.684946,0.2244518,0.2531896,0.3755737,0.1467849
Idaho,2012,16,1595728,61,3.82271E-05,3.822706627,1,6.26673E-07,0.062667322,33,2.06802E-05,2.068021618,13,8.14675E-06,0.814675183,11,6.89341E-06,0.689340539,6,3.76004E-06,0.37600393,0.9380425,0.0097121,0.0522454,0.2602038,0.254935,0.3626342,0.122227
Illinois,2012,17,12875255,1204,9.35127E-05,9.351271101,275,2.13588E-05,2.135880027,188,1.46017E-05,1.460165255,110,8.54352E-06,0.854352011,87,6.75715E-06,0.675714772,641,4.97854E-05,4.978542173,0.7508962,0.1435069,0.1055969,0.2345831,0.2584554,0.3818673,0.1250941
Indiana,2012,18,6537334,397,6.07281E-05,6.072811944,118,1.80502E-05,1.805017152,146,2.23333E-05,2.233326307,50,7.64838E-06,0.764837776,45,6.88354E-06,0.688353999,63,9.63696E-06,0.963695598,0.8597884,0.0971692,0.0430423,0.2363365,0.2510408,0.3862127,0.12641
Iowa,2012,19,3074186,185,6.01785E-05,6.017853181,14,4.55405E-06,0.455405106,109,3.54565E-05,3.545654037,43,1.39874E-05,1.398744253,38,1.2361E-05,1.236099572,14,4.55405E-06,0.455405106,0.9360534,0.0351707,0.0287759,0.2309795,0.2503025,0.3746832,0.1440347
Kansas,2012,20,2885905,184,6.37582E-05,6.375816252,16,5.54419E-06,0.554418804,98,3.39582E-05,3.395815178,34,1.17814E-05,1.17813996,45,1.5593E-05,1.559302888,5,1.73256E-06,0.173255876,0.8764642,0.0682781,0.0552576,0.2421641,0.263712,0.3687361,0.1253877
Kentucky,2012,21,4380415,713,0.00016277,16.27699659,147,3.35585E-05,3.355846421,420,9.58813E-05,9.588132631,83,1.8948E-05,1.894797639,73,1.66651E-05,1.666508767,103,2.35138E-05,2.351375383,0.8964458,0.0823657,0.0211884,0.2256463,0.2485377,0.3963361,0.1294799
Louisiana,2012,22,4601893,180,3.91143E-05,3.911433838,52,1.12997E-05,1.129969775,80,1.73842E-05,1.738415039,26,5.64985E-06,0.564984888,20,4.34604E-06,0.43460376,26,5.64985E-06,0.564984888,0.6525286,0.3176942,0.0297772,0.2487159,0.2588052,0.3664699,0.126009
Maine,2012,23,1329192,107,8.05E-05,8.05000331,12,9.02804E-06,0.90280411,65,4.89019E-05,4.890188927,26,1.95608E-05,1.956075571,17,1.27897E-05,1.278972489,5,3.76168E-06,0.376168379,0.970948,0.0130441,0.0160078,0.1889343,0.2232275,0.4324404,0.1553978
Maryland,2012,24,5884563,667,0.000113347,11.33474142,174,2.95689E-05,2.956889067,262,4.45233E-05,4.452327216,173,2.9399E-05,2.939895452,55,9.34649E-06,0.934648843,205,3.48369E-05,3.483691142,0.6173348,0.2868409,0.0958243,0.2248889,0.2545438,0.3989905,0.1215768
Massachusetts,2012,25,6646144,712,0.00010713,10.71297883,246,3.70139E-05,3.701394372,183,2.75348E-05,2.753476301,87,1.30903E-05,1.309029717,72,1.08333E-05,1.083334938,260,3.91204E-05,3.912042833,0.8296658,0.0714548,0.0988794,0.2095232,0.2462716,0.4080034,0.1362018
Michigan,2012,26,9883360,700,7.08261E-05,7.082611581,264,2.67116E-05,2.671156368,280,2.83304E-05,2.833044633,136,1.37605E-05,1.37605025,73,7.38615E-06,0.738615208,47,4.75547E-06,0.475546778,0.8170469,0.1416655,0.0412877,0.2217391,0.2408125,0.4010267,0.1364217
Minnesota,2012,27,5379139,298,5.53992E-05,5.53992005,46,8.55155E-06,0.855155444,112,2.08212E-05,2.082117603,67,1.24555E-05,1.245552495,42,7.80794E-06,0.780794101,71,1.31991E-05,1.319913838,0.8742238,0.0601578,0.0656183,0.2269263,0.2546909,0.3938947,0.1244881
Mississippi,2012,28,2984926,112,3.75219E-05,3.752186821,9,3.01515E-06,0.301515012,61,2.0436E-05,2.043601751,22,7.37037E-06,0.737036697,20,6.70033E-06,0.670033361,11,3.68518E-06,0.368518349,0.6091245,0.3731272,0.0177483,0.2515781,0.2567735,0.3668842,0.1247643
Missouri,2012,29,6021988,556,9.23283E-05,9.232831417,216,3.58686E-05,3.586855371,209,3.47061E-05,3.470614687,64,1.06277E-05,1.062771962,58,9.63137E-06,0.96313709,54,8.96714E-06,0.896713843,0.8487793,0.1166484,0.0345723,0.2272217,0.2485227,0.3842382,0.1400175
Montana,2012,30,1005141,53,5.27289E-05,5.272892062,3,2.98466E-06,0.298465588,27,2.68619E-05,2.686190296,13,1.29335E-05,1.293350883,13,1.29335E-05,1.293350883,1,9.94885E-07,0.099488529,0.9081876,0.0068012,0.0850112,0.2183818,0.2339876,0.3964472,0.1511835
Nebraska,2012,31,1855525,60,3.23359E-05,3.233586182,2,1.07786E-06,0.107786206,30,1.61679E-05,1.616793091,23,1.23954E-05,1.23954137,11,5.92824E-06,0.592824133,5,2.69466E-06,0.269465515,0.8990768,0.0541976,0.0467256,0.2409872,0.2611569,0.3706694,0.1271866
Nevada,2012,32,2758931,493,0.000178692,17.86923993,45,1.63107E-05,1.631066525,331,0.000119974,11.99740044,76,2.75469E-05,2.754690132,30,1.08738E-05,1.087377684,55,1.99353E-05,1.993525753,0.7360106,0.0877304,0.1762591,0.2433385,0.2551478,0.3782953,0.1232185
New Hampshire,2012,33,1320718,134,0.00010146,10.14599634,39,2.95294E-05,2.952939235,57,4.31583E-05,4.315834266,27,2.04434E-05,2.044342547,24,1.81719E-05,1.817193375,17,1.28718E-05,1.287178641,0.9543191,0.0157985,0.0298825,0.197569,0.230262,0.4357913,0.1363777
New Jersey,2012,34,8864590,625,7.05052E-05,7.050523487,307,3.46322E-05,3.463217137,232,2.61715E-05,2.617154318,71,8.00939E-06,0.800939468,39,4.39953E-06,0.439952666,45,5.07638E-06,0.507637691,0.7191679,0.1350296,0.1458025,0.2291887,0.230187,0.4053859,0.1352385
New Mexico,2012,35,2085538,339,0.000162548,16.25479852,105,5.03467E-05,5.034672109,196,9.39805E-05,9.398054603,37,1.77412E-05,1.774122553,37,1.77412E-05,1.774122553,8,3.83594E-06,0.383594065,0.7588599,0.0259257,0.2152144,0.2460353,0.2484386,0.3716776,0.1338485
New York,2012,36,19570261,1576,8.05304E-05,8.053035164,525,2.68264E-05,2.68264179,634,3.23961E-05,3.239609324,340,1.73733E-05,1.737329921,168,8.58445E-06,0.858445373,188,9.60641E-06,0.960641251,0.6878591,0.152555,0.1595858,0.2213517,0.2558302,0.3861918,0.1366263
North Carolina,2012,37,9752073,841,8.62381E-05,8.623807471,153,1.5689E-05,1.568897198,415,4.25551E-05,4.25550547,184,1.88678E-05,1.886778329,141,1.44585E-05,1.445846437,29,2.97373E-06,0.297372671,0.7254118,0.2129479,0.0616402,0.2303363,0.2544144,0.3878361,0.1274132
North Dakota,2012,38,701705,9,1.28259E-05,1.282590262,2,2.8502E-06,0.285020058,6,8.5506E-06,0.855060175,1,1.4251E-06,0.142510029,1,1.4251E-06,0.142510029,2,2.8502E-06,0.285020058,0.9142795,0.0132787,0.0724418,0.2242886,0.2811817,0.3609965,0.1335332
Ohio,2012,39,11544225,1403,0.000121533,12.15326278,700,6.06364E-05,6.06363788,529,4.58238E-05,4.582377769,139,1.20407E-05,1.204065236,143,1.23871E-05,1.238714595,89,7.70948E-06,0.770948245,0.8434103,0.12848,0.0281097,0.2212584,0.2452753,0.3961574,0.1373089
Oklahoma,2012,40,3814820,538,0.000141029,14.10289345,26,6.81552E-06,0.681552472,387,0.000101446,10.14464641,77,2.01844E-05,2.018443858,107,2.80485E-05,2.804850557,8,2.09708E-06,0.209708453,0.8003378,0.0800459,0.1196163,0.244218,0.2586191,0.3660365,0.1311264
Oregon,2012,41,3899353,369,9.46311E-05,9.463108367,132,3.38518E-05,3.385176977,146,3.74421E-05,3.744210899,86,2.20549E-05,2.205494091,31,7.95004E-06,0.795003684,26,6.66777E-06,0.666777283,0.886707,0.0259193,0.0873737,0.2113938,0.2532284,0.3976459,0.137732
Pennsylvania,2012,42,12763536,840,6.58125E-05,6.581248331,325,2.54632E-05,2.546316319,362,2.8362E-05,2.836204638,91,7.12969E-06,0.712968569,101,7.91317E-06,0.791316764,59,4.62254E-06,0.462254347,0.8506817,0.105108,0.0442103,0.2086648,0.237352,0.4021089,0.1518743
Rhode Island,2012,44,1050292,143,0.000136153,13.61526128,30,2.85635E-05,2.85634852,75,7.14087E-05,7.140871301,28,2.66593E-05,2.665925286,12,1.14254E-05,1.142539408,27,2.57071E-05,2.570713668,0.8532586,0.0612354,0.0855061,0.2057972,0.2408802,0.4054146,0.147908
South Carolina,2012,45,4723723,245,5.18659E-05,5.186586936,19,4.02225E-06,0.402225109,154,3.26014E-05,3.26014036,38,8.0445E-06,0.804450219,46,9.73808E-06,0.973808159,14,2.96376E-06,0.296376396,0.699533,0.2691785,0.0312885,0.2257874,0.2511449,0.3846812,0.1383865
South Dakota,2012,46,833354,26,3.11992E-05,3.119922626,1,1.19997E-06,0.119997024,19,2.27994E-05,2.279943457,1,1.19997E-06,0.119997024,5,5.99985E-06,0.59998512,2,2.39994E-06,0.239994048,0.8736472,0.019764,0.1065888,0.2340192,0.259883,0.3745461,0.1315516
Tennessee,2012,47,6456243,748,0.000115857,11.58568536,50,7.74444E-06,0.774444208,505,7.82189E-05,7.821886506,107,1.65731E-05,1.657310606,80,1.23911E-05,1.239110734,76,1.17716E-05,1.177155197,0.8077618,0.1624768,0.0297614,0.2267021,0.2501727,0.3901206,0.1330045
Texas,2012,48,26059203,1179,4.52431E-05,4.524313349,369,1.41601E-05,1.416006468,504,1.93406E-05,1.934057615,149,5.71775E-06,0.571774969,130,4.98864E-06,0.498864067,128,4.91189E-06,0.491189236,0.7768025,0.1167861,0.1064113,0.2676824,0.2696784,0.3606274,0.1020118
Utah,2012,49,2855287,438,0.0001534,15.33996407,88,3.082E-05,3.082001914,341,0.000119428,11.94275742,54,1.89123E-05,1.891228447,61,2.13639E-05,2.136387691,27,9.45614E-06,0.945614224,0.9037108,0.014074,0.0822152,0.3018706,0.2947744,0.3132561,0.0900989
Vermont,2012,50,626011,57,9.10527E-05,9.105271313,10,1.59742E-05,1.59741602,27,4.31302E-05,4.313023254,19,3.03509E-05,3.035090438,7,1.11819E-05,1.118191214,2,3.19483E-06,0.319483204,0.9638162,0.0127212,0.0234626,0.180543,0.2405154,0.425726,0.1532156
Virginia,2012,51,8185867,547,6.68225E-05,6.682248808,124,1.51481E-05,1.514805945,283,3.45718E-05,3.457178085,106,1.29491E-05,1.29491476,91,1.11167E-05,1.111672105,22,2.68756E-06,0.268755894,0.7301943,0.1866844,0.0831212,0.2206475,0.2636539,0.3939213,0.1217773
Washington,2012,53,6897012,717,0.000103958,10.39580618,179,2.59533E-05,2.595326788,346,5.01667E-05,5.016665188,186,2.69682E-05,2.696820014,59,8.55443E-06,0.855442908,106,1.5369E-05,1.536897427,0.8283714,0.04726,0.1243685,0.2220176,0.2608015,0.3947012,0.1224797
West Virginia,2012,54,1855413,513,0.000276488,27.64883075,65,3.50326E-05,3.503263155,380,0.000204806,20.48061537,72,3.88054E-05,3.880537648,98,5.28184E-05,5.28184291,8,4.31171E-06,0.43117085,0.9535992,0.0379433,0.0084575,0.2090926,0.2260544,0.4094155,0.1554375
Wisconsin,2012,55,5726398,496,8.66164E-05,8.661640354,187,3.26558E-05,3.265578117,237,4.13873E-05,4.138727347,63,1.10017E-05,1.100168029,58,1.01285E-05,1.012853106,28,4.88964E-06,0.488963568,0.884096,0.0661182,0.0497858,0.2198483,0.247917,0.3984749,0.1337598
Wyoming,2012,56,576412,47,8.15389E-05,8.153889926,3,5.20461E-06,0.520461059,27,4.68415E-05,4.684149532,3,5.20461E-06,0.520461059,9,1.56138E-05,1.561383177,8,1.3879E-05,1.387896158,0.9421567,0.0143266,0.0435167,0.2273011,0.266184,0.382934,0.1235809
Alabama,2011,1,4802740,180,3.74786E-05,3.747860596,14,2.915E-06,0.291500269,95,1.97804E-05,1.978037537,64,1.33257E-05,1.332572656,21,4.3725E-06,0.437250403,11,2.29036E-06,0.229035925,0.7098154,0.262891,0.0272936,0.2293527,0.252431,0.3828446,0.1353717
Alaska,2011,2,722718,72,9.96239E-05,9.96239197,12,1.6604E-05,1.660398662,40,5.53466E-05,5.534662206,18,2.4906E-05,2.490597993,5,6.91833E-06,0.691832776,5,6.91833E-06,0.691832776,0.7184378,0.0574039,0.2241583,0.25943,0.2730671,0.3914428,0.0760602
Arizona,2011,4,6482505,596,9.19398E-05,9.193976711,118,1.82028E-05,1.82028398,335,5.16776E-05,5.167755366,59,9.10142E-06,0.91014199,43,6.63324E-06,0.663323823,85,1.31122E-05,1.311221511,0.8145321,0.0470524,0.1384155,0.2474928,0.2549419,0.3569398,0.1406255
Arkansas,2011,5,2937979,176,5.99051E-05,5.990512526,6,2.04222E-06,0.204222018,117,3.98233E-05,3.98232935,60,2.04222E-05,2.042220179,30,1.02111E-05,1.02111009,11,3.74407E-06,0.374407033,0.803277,0.1566962,0.0400268,0.2376905,0.2455827,0.3739324,0.1427945
